#{"t_start": 1774518987.7821171, "env_id": "None"}
r,l,t
-57.03792,27,535.060693
198.47162,70,535.819892
213.58719,47,536.205742
119.461395,108,536.599806
-1263.757,361,537.74108
25.174904,13,538.149456
226.76352,79,538.149456
149.40836,69,540.266463
31.439606,113,542.205347
219.3772,52,542.580518
500.1689,119,542.956147
-98.187904,19,543.729595
-3.9039536,98,544.107979
194.58817,99,545.381288
-128.83725,2,546.162571
-647.9105,224,547.346982
39.05759,153,547.346982
-188.47546,165,548.098402
301.69,127,549.220837
-889.75977,243,549.220837
-194.44284,40,551.524521
-45.530884,11,552.289382
-137.0853,30,555.286262
-1089.2124,326,557.569371
38.069992,104,558.8416
-35.973885,12,559.993675
159.79712,88,561.149108
-178.31293,60,565.89587
-170.8902,51,565.89587
111.80275,148,567.813248
98.493835,80,567.813248
-140.6517,5,569.828394
280.33994,71,569.828394
185.33136,62,571.388495
-239.82042,173,574.058961
-840.2871,270,574.891068
34.50499,89,574.891068
-43.645123,113,575.292534
257.5241,45,576.403785
-896.3885,100,577.198458
14.824173,92,578.995681
-662.5209,238,579.769618
-54.6749,112,581.675246
5.9670334,32,582.457378
81.46187,20,582.865448
-279.81433,24,584.400778
283.83667,146,587.316441
-7.080742,40,587.316441
-295.54504,126,587.809801
27.346458,92,588.541313
-27.38546,37,588.942174
38.50023,101,588.942174
154.58356,28,590.850806
-35.411972,112,591.229578
-137.50006,112,595.415336
-37.659565,12,595.800179
149.8034,93,596.60519
-666.63153,203,596.986948
-487.13074,219,597.370761
-1358.8798,316,599.633434
348.0943,58,600.058333
-75.92979,36,601.279048
-128.81961,35,602.03004
-91.45498,99,606.575065
221.55939,74,607.708851
197.43118,55,610.083775
-837.32745,244,610.47033
-400.53534,164,613.128975
-539.6383,177,613.128975
256.46164,70,614.387963
257.4504,72,615.516442
420.84302,128,615.903166
-1622.9233,353,615.903166
69.03325,44,619.263932
606.338,91,620.029093
-1024.3422,255,622.355135
121.79924,83,623.100368
174.23438,61,623.843964
-790.7875,230,624.593309
20.886833,31,625.405219
255.31296,76,626.999882
-185.88016,130,627.419173
-184.94345,14,629.291259
-76.83909,26,630.053662
-825.4006,253,630.053662
106.935425,90,630.437134
-1094.0663,271,630.826828
-114.755295,2,630.826828
-412.08386,262,631.586151
224.08109,33,631.964516
29.83493,117,634.264646
461.4173,97,634.264646
440.29538,97,637.23064
67.127625,94,637.612938
-151.15703,19,637.612938
-914.2887,208,638.81505
-735.03314,202,640.136681
-21.029488,78,640.499812
117.35033,80,641.688992
159.9714,75,643.541817
89.186646,82,647.76683
-1103.1804,342,648.988786
-28.02951,23,649.370097
-595.8318,174,650.141911
-141.50084,179,651.417602
-579.3621,177,651.81243
-761.3381,56,653.888106
249.87366,45,656.724253
82.306564,18,658.727695
-1562.2653,317,659.107085
94.934784,44,659.107085
145.08647,75,659.504008
282.69116,56,659.89929
-425.6327,217,660.270922
28.85907,24,663.292875
285.91873,60,663.670059
21.392075,18,665.551888
-1900.8545,360,667.814251
88.35033,87,668.191288
400.36377,97,668.574698
-59.43529,32,668.940309
-129.93889,16,674.268766
-2003.5908,361,674.640959
-225.97957,129,674.640959
266.83444,42,675.395465
-19.423134,101,676.94148
-211.77966,178,676.94148
-472.95163,159,677.748852
106.73108,73,678.511299
212.01773,71,679.271321
322.62836,127,680.034969
-84.871506,125,680.034969
-149.90688,4,681.619092
-100.0,1,682.041818
-771.53876,203,685.631611
240.45926,70,687.142559
-1580.1599,317,689.403352
-344.73087,143,693.082928
321.5564,69,695.441254
-10.144379,176,695.902005
158.39578,86,696.690165
269.1602,73,697.46603
-303.48975,214,698.977932
-608.9624,189,700.500258
-8.039749,105,700.501259
349.98956,67,700.943646
131.31558,39,700.943646
75.93759,96,702.941762
-851.90625,205,705.358558
339.73694,60,705.741149
-114.572136,2,706.139887
-286.93976,213,706.139887
-1405.739,361,710.810835
162.57901,87,712.068281
178.75012,96,712.437891
-43.659687,17,712.814559
-405.57175,165,713.940702
-698.45233,215,718.106927
-83.258064,105,718.106927
-766.8846,273,719.703727
-519.948,235,720.819871
320.48077,111,723.541726
609.2722,63,725.463553
299.94305,65,725.8415
-82.03926,103,735.705545
-2155.9968,361,736.089725
-2070.761,361,737.217604
-205.24747,108,738.360138
-1764.3403,299,738.360138
186.01764,67,738.360138
-270.24188,120,739.59675
335.81046,130,739.981454
-30.581802,12,740.412766
221.74515,59,742.337652
197.10968,63,742.337652
12.235794,106,743.865285
-1048.4155,220,744.241389
